State,Year,Quarter,Pincode,Registered_users,Region
Andhra Pradesh,2020,1,517501,146823,Southern Region
Andhra Pradesh,2020,1,517507,129214,Southern Region
Andhra Pradesh,2020,1,530016,114042,Southern Region
Andhra Pradesh,2020,1,515001,111359,Southern Region
Andhra Pradesh,2020,1,518002,102905,Southern Region
Andhra Pradesh,2020,1,516001,102893,Southern Region
Andhra Pradesh,2020,1,516360,89774,Southern Region
Andhra Pradesh,2020,1,530026,87449,Southern Region
Andhra Pradesh,2020,1,524002,85878,Southern Region
Andhra Pradesh,2020,1,520010,85779,Southern Region
Andhra Pradesh,2020,2,517501,156221,Southern Region
Andhra Pradesh,2020,2,517507,138735,Southern Region
Andhra Pradesh,2020,2,530016,120621,Southern Region
Andhra Pradesh,2020,2,515001,119223,Southern Region
Andhra Pradesh,2020,2,518002,112673,Southern Region
Andhra Pradesh,2020,2,516001,111898,Southern Region
Andhra Pradesh,2020,2,516360,98803,Southern Region
Andhra Pradesh,2020,2,524002,93834,Southern Region
Andhra Pradesh,2020,2,530026,93224,Southern Region
Andhra Pradesh,2020,2,520010,91299,Southern Region
Andhra Pradesh,2020,3,517501,166768,Southern Region
Andhra Pradesh,2020,3,517507,149001,Southern Region
Andhra Pradesh,2020,3,515001,128227,Southern Region
Andhra Pradesh,2020,3,530016,128059,Southern Region
Andhra Pradesh,2020,3,518002,121529,Southern Region
Andhra Pradesh,2020,3,516001,120997,Southern Region
Andhra Pradesh,2020,3,516360,108073,Southern Region
Andhra Pradesh,2020,3,524002,102103,Southern Region
Andhra Pradesh,2020,3,530026,99754,Southern Region
Andhra Pradesh,2020,3,520010,97752,Southern Region
Andhra Pradesh,2020,4,517501,178328,Southern Region
Andhra Pradesh,2020,4,517507,160062,Southern Region
Andhra Pradesh,2020,4,515001,137945,Southern Region
Andhra Pradesh,2020,4,530016,136049,Southern Region
Andhra Pradesh,2020,4,518002,130871,Southern Region
Andhra Pradesh,2020,4,516001,130500,Southern Region
Andhra Pradesh,2020,4,516360,117397,Southern Region
Andhra Pradesh,2020,4,524002,110746,Southern Region
Andhra Pradesh,2020,4,530026,106320,Southern Region
Andhra Pradesh,2020,4,520010,104956,Southern Region
Andhra Pradesh,2021,1,517501,190712,Southern Region
Andhra Pradesh,2021,1,517507,171417,Southern Region
Andhra Pradesh,2021,1,515001,147941,Southern Region
Andhra Pradesh,2021,1,530016,145206,Southern Region
Andhra Pradesh,2021,1,518002,140153,Southern Region
Andhra Pradesh,2021,1,516001,139840,Southern Region
Andhra Pradesh,2021,1,516360,126260,Southern Region
Andhra Pradesh,2021,1,524002,118730,Southern Region
Andhra Pradesh,2021,1,530026,113581,Southern Region
Andhra Pradesh,2021,1,520010,112324,Southern Region
Andhra Pradesh,2021,2,517501,203005,Southern Region
Andhra Pradesh,2021,2,517507,182425,Southern Region
Andhra Pradesh,2021,2,515001,157649,Southern Region
Andhra Pradesh,2021,2,530016,154509,Southern Region
Andhra Pradesh,2021,2,518002,149368,Southern Region
Andhra Pradesh,2021,2,516001,148851,Southern Region
Andhra Pradesh,2021,2,516360,134622,Southern Region
Andhra Pradesh,2021,2,524002,126459,Southern Region
Andhra Pradesh,2021,2,530026,120973,Southern Region
Andhra Pradesh,2021,2,520010,119561,Southern Region
Andhra Pradesh,2021,3,517501,216777,Southern Region
Andhra Pradesh,2021,3,517507,194860,Southern Region
Andhra Pradesh,2021,3,515001,168654,Southern Region
Andhra Pradesh,2021,3,530016,164812,Southern Region
Andhra Pradesh,2021,3,518002,159802,Southern Region
Andhra Pradesh,2021,3,516001,158891,Southern Region
Andhra Pradesh,2021,3,516360,144068,Southern Region
Andhra Pradesh,2021,3,524002,135136,Southern Region
Andhra Pradesh,2021,3,530026,129270,Southern Region
Andhra Pradesh,2021,3,520010,127618,Southern Region
Andhra Pradesh,2021,4,517501,230688,Southern Region
Andhra Pradesh,2021,4,517507,207174,Southern Region
Andhra Pradesh,2021,4,515001,179763,Southern Region
Andhra Pradesh,2021,4,530016,175300,Southern Region
Andhra Pradesh,2021,4,518002,170267,Southern Region
Andhra Pradesh,2021,4,516001,169158,Southern Region
Andhra Pradesh,2021,4,516360,153381,Southern Region
Andhra Pradesh,2021,4,524002,143764,Southern Region
Andhra Pradesh,2021,4,530026,137812,Southern Region
Andhra Pradesh,2021,4,520010,135719,Southern Region
Andhra Pradesh,2022,1,517501,243791,Southern Region
Andhra Pradesh,2022,1,517507,218905,Southern Region
Andhra Pradesh,2022,1,515001,190203,Southern Region
Andhra Pradesh,2022,1,530016,185094,Southern Region
Andhra Pradesh,2022,1,518002,180102,Southern Region
Andhra Pradesh,2022,1,516001,179007,Southern Region
Andhra Pradesh,2022,1,516360,162263,Southern Region
Andhra Pradesh,2022,1,524002,151939,Southern Region
Andhra Pradesh,2022,1,530026,145842,Southern Region
Andhra Pradesh,2022,1,520010,143308,Southern Region
Andhra Pradesh,2022,2,517501,256290,Southern Region
Andhra Pradesh,2022,2,517507,229983,Southern Region
Andhra Pradesh,2022,2,515001,200266,Southern Region
Andhra Pradesh,2022,2,530016,194513,Southern Region
Andhra Pradesh,2022,2,518002,189505,Southern Region
Andhra Pradesh,2022,2,516001,188295,Southern Region
Andhra Pradesh,2022,2,516360,170855,Southern Region
Andhra Pradesh,2022,2,524002,159834,Southern Region
Andhra Pradesh,2022,2,530026,153586,Southern Region
Andhra Pradesh,2022,2,520010,150546,Southern Region
Andhra Pradesh,2022,3,517501,269370,Southern Region
Andhra Pradesh,2022,3,517507,241720,Southern Region
Andhra Pradesh,2022,3,515001,210661,Southern Region
Andhra Pradesh,2022,3,530016,204230,Southern Region
Andhra Pradesh,2022,3,518002,199354,Southern Region
Andhra Pradesh,2022,3,516001,197910,Southern Region
Andhra Pradesh,2022,3,516360,179806,Southern Region
Andhra Pradesh,2022,3,524002,168015,Southern Region
Andhra Pradesh,2022,3,530026,161715,Southern Region
Andhra Pradesh,2022,3,520010,158071,Southern Region
Andhra Pradesh,2022,4,517501,282766,Southern Region
Andhra Pradesh,2022,4,517507,253314,Southern Region
Andhra Pradesh,2022,4,515001,221328,Southern Region
Andhra Pradesh,2022,4,530016,214155,Southern Region
Andhra Pradesh,2022,4,518002,209376,Southern Region
Andhra Pradesh,2022,4,516001,207725,Southern Region
Andhra Pradesh,2022,4,516360,188768,Southern Region
Andhra Pradesh,2022,4,524002,176415,Southern Region
Andhra Pradesh,2022,4,530026,169957,Southern Region
Andhra Pradesh,2022,4,520010,165734,Southern Region
Andhra Pradesh,2023,1,517501,295420,Southern Region
Andhra Pradesh,2023,1,517507,264456,Southern Region
Andhra Pradesh,2023,1,515001,231542,Southern Region
Andhra Pradesh,2023,1,530016,223726,Southern Region
Andhra Pradesh,2023,1,518002,219100,Southern Region
Andhra Pradesh,2023,1,516001,217104,Southern Region
Andhra Pradesh,2023,1,516360,197437,Southern Region
Andhra Pradesh,2023,1,524002,184419,Southern Region
Andhra Pradesh,2023,1,530026,177985,Southern Region
Andhra Pradesh,2023,1,520010,173156,Southern Region
Andhra Pradesh,2023,2,517501,306201,Southern Region
Andhra Pradesh,2023,2,517507,273955,Southern Region
Andhra Pradesh,2023,2,515001,240176,Southern Region
Andhra Pradesh,2023,2,530016,231775,Southern Region
Andhra Pradesh,2023,2,518002,227292,Southern Region
Andhra Pradesh,2023,2,516001,225126,Southern Region
Andhra Pradesh,2023,2,516360,204900,Southern Region
Andhra Pradesh,2023,2,524002,191332,Southern Region
Andhra Pradesh,2023,2,530026,184561,Southern Region
Andhra Pradesh,2023,2,520001,179439,Southern Region
Andhra Pradesh,2023,3,517501,317981,Southern Region
Andhra Pradesh,2023,3,517507,284487,Southern Region
Andhra Pradesh,2023,3,515001,249655,Southern Region
Andhra Pradesh,2023,3,530016,240480,Southern Region
Andhra Pradesh,2023,3,518002,236199,Southern Region
Andhra Pradesh,2023,3,516001,233874,Southern Region
Andhra Pradesh,2023,3,516360,213165,Southern Region
Andhra Pradesh,2023,3,524002,198528,Southern Region
Andhra Pradesh,2023,3,530026,192066,Southern Region
Andhra Pradesh,2023,3,520001,186511,Southern Region
Andhra Pradesh,2023,4,517501,328762,Southern Region
Andhra Pradesh,2023,4,517507,293894,Southern Region
Andhra Pradesh,2023,4,515001,258235,Southern Region
Andhra Pradesh,2023,4,530016,248401,Southern Region
Andhra Pradesh,2023,4,518002,244371,Southern Region
Andhra Pradesh,2023,4,516001,242054,Southern Region
Andhra Pradesh,2023,4,516360,220919,Southern Region
Andhra Pradesh,2023,4,524002,205559,Southern Region
Andhra Pradesh,2023,4,530026,198977,Southern Region
Andhra Pradesh,2023,4,520001,192934,Southern Region
Andhra Pradesh,2024,1,517501,341202,Southern Region
Andhra Pradesh,2024,1,517507,305041,Southern Region
Andhra Pradesh,2024,1,515001,268309,Southern Region
Andhra Pradesh,2024,1,530016,257668,Southern Region
Andhra Pradesh,2024,1,518002,253903,Southern Region
Andhra Pradesh,2024,1,516001,251394,Southern Region
Andhra Pradesh,2024,1,516360,229802,Southern Region
