State,Year,Quarter,District,Registered_users,Latitude,Longitude,Region
Punjab,2023,2,Fazilka,414974,30.3360996,74.11794319222481,Northern Region
Punjab,2023,2,Sangrur,402871,31.32124525,74.84130629340785,Northern Region
Punjab,2023,2,Hoshiarpur,344428,31.3410997,74.6891758,Northern Region
Punjab,2023,2,Gurdaspur,308841,31.9042299,75.22738141098935,Northern Region
Punjab,2023,3,Ludhiana,1957125,30.479765,74.5354916,Northern Region
Punjab,2023,3,Sas Nagar,1062990,31.32124525,74.84130629340785,Northern Region
Punjab,2023,3,Amritsar,771321,31.3410997,74.6891758,Northern Region
Punjab,2023,3,Jalandhar,732473,31.32124525,74.84130629340785,Northern Region
Punjab,2023,3,Patiala,715678,30.1407973,74.2001558,Northern Region
Punjab,2023,3,Bathinda,495871,30.20378255,74.95031921693888,Northern Region
Punjab,2023,3,Fazilka,431814,30.3360996,74.11794319222481,Northern Region
Punjab,2023,3,Sangrur,418793,31.32124525,74.84130629340785,Northern Region
Punjab,2023,3,Hoshiarpur,358108,31.3410997,74.6891758,Northern Region
Punjab,2023,3,Gurdaspur,320776,31.9042299,75.22738141098935,Northern Region
Punjab,2023,4,Ludhiana,2030159,30.479765,74.5354916,Northern Region
Punjab,2023,4,Sas Nagar,1099060,31.32124525,74.84130629340785,Northern Region
Punjab,2023,4,Amritsar,798214,31.3410997,74.6891758,Northern Region
Punjab,2023,4,Jalandhar,758342,31.32124525,74.84130629340785,Northern Region
Punjab,2023,4,Patiala,740516,30.1407973,74.2001558,Northern Region
Punjab,2023,4,Bathinda,513676,30.20378255,74.95031921693888,Northern Region
Punjab,2023,4,Fazilka,447755,30.3360996,74.11794319222481,Northern Region
Punjab,2023,4,Sangrur,433927,31.32124525,74.84130629340785,Northern Region
Punjab,2023,4,Hoshiarpur,371220,31.3410997,74.6891758,Northern Region
Punjab,2023,4,Gurdaspur,332236,31.9042299,75.22738141098935,Northern Region
Punjab,2024,1,Ludhiana,2111816,30.479765,74.5354916,Northern Region
Punjab,2024,1,Sas Nagar,1140194,31.32124525,74.84130629340785,Northern Region
Punjab,2024,1,Amritsar,828669,31.3410997,74.6891758,Northern Region
Punjab,2024,1,Jalandhar,787722,31.32124525,74.84130629340785,Northern Region
Punjab,2024,1,Patiala,768945,30.1407973,74.2001558,Northern Region
Punjab,2024,1,Bathinda,534058,30.20378255,74.95031921693888,Northern Region
Punjab,2024,1,Fazilka,465859,30.3360996,74.11794319222481,Northern Region
Punjab,2024,1,Sangrur,451041,31.32124525,74.84130629340785,Northern Region
Punjab,2024,1,Hoshiarpur,386238,31.3410997,74.6891758,Northern Region
Punjab,2024,1,Gurdaspur,345175,31.9042299,75.22738141098935,Northern Region
Punjab,2024,2,Ludhiana,2193835,30.479765,74.5354916,Northern Region
Punjab,2024,2,Sas Nagar,1182293,31.32124525,74.84130629340785,Northern Region
Punjab,2024,2,Amritsar,860199,31.3410997,74.6891758,Northern Region
Punjab,2024,2,Jalandhar,817774,31.32124525,74.84130629340785,Northern Region
Punjab,2024,2,Patiala,797912,30.1407973,74.2001558,Northern Region
Punjab,2024,2,Bathinda,553994,30.20378255,74.95031921693888,Northern Region
Punjab,2024,2,Fazilka,483712,30.3360996,74.11794319222481,Northern Region
Punjab,2024,2,Sangrur,468298,31.32124525,74.84130629340785,Northern Region
Punjab,2024,2,Hoshiarpur,401488,31.3410997,74.6891758,Northern Region
Punjab,2024,2,Gurdaspur,358468,31.9042299,75.22738141098935,Northern Region
Punjab,2024,3,Ludhiana,2288105,30.479765,74.5354916,Northern Region
Punjab,2024,3,Sas Nagar,1248412,31.32124525,74.84130629340785,Northern Region
Punjab,2024,3,Amritsar,932165,31.3410997,74.6891758,Northern Region
Punjab,2024,3,Jalandhar,855160,31.32124525,74.84130629340785,Northern Region
Punjab,2024,3,Patiala,756718,30.1407973,74.2001558,Northern Region
Punjab,2024,3,Bathinda,509440,30.20378255,74.95031921693888,Northern Region
Punjab,2024,3,Hoshiarpur,424706,31.3410997,74.6891758,Northern Region
Punjab,2024,3,Fazilka,395249,30.3360996,74.11794319222481,Northern Region
Punjab,2024,3,Gurdaspur,394383,31.9042299,75.22738141098935,Northern Region
Punjab,2024,3,Sangrur,334195,31.32124525,74.84130629340785,Northern Region
Punjab,2024,4,Ludhiana,2352294,30.479765,74.5354916,Northern Region
Punjab,2024,4,Sas Nagar,1284134,31.32124525,74.84130629340785,Northern Region
Punjab,2024,4,Amritsar,960254,31.3410997,74.6891758,Northern Region
Punjab,2024,4,Jalandhar,880313,31.32124525,74.84130629340785,Northern Region
Punjab,2024,4,Patiala,778895,30.1407973,74.2001558,Northern Region
Punjab,2024,4,Bathinda,524150,30.20378255,74.95031921693888,Northern Region
Punjab,2024,4,Hoshiarpur,438513,31.3410997,74.6891758,Northern Region
Punjab,2024,4,Fazilka,407727,30.3360996,74.11794319222481,Northern Region
Punjab,2024,4,Gurdaspur,407049,31.9042299,75.22738141098935,Northern Region
Punjab,2024,4,Sangrur,344663,31.32124525,74.84130629340785,Northern Region
Rajasthan,2018,1,Jaipur,900773,27.1506772,75.74701641691182,Western Region
Rajasthan,2018,1,Alwar,203096,27.638573450000003,76.61404271796437,Western Region
Rajasthan,2018,1,Jodhpur,172648,26.73668055,72.87475506802181,Western Region
Rajasthan,2018,1,Kota,141411,25.196682950000003,76.00096873038872,Western Region
Rajasthan,2018,1,Sikar,133983,27.66241555,75.02799709983499,Western Region
Rajasthan,2018,1,Ajmer,118458,26.33188715,74.71697524629388,Western Region
Rajasthan,2018,1,Udaipur,111919,24.453502,73.65234711743422,Western Region
Rajasthan,2018,1,Bhilwara,111753,25.4889628,74.71640140204903,Western Region
Rajasthan,2018,1,Nagaur,101581,27.05890605,74.1760832159963,Western Region
Rajasthan,2018,1,Jhunjhunu,98912,25.196682950000003,76.00096873038872,Western Region
Rajasthan,2018,2,Jaipur,1182983,27.1506772,75.74701641691182,Western Region
Rajasthan,2018,2,Alwar,275869,27.638573450000003,76.61404271796437,Western Region
Rajasthan,2018,2,Jodhpur,229215,26.73668055,72.87475506802181,Western Region
Rajasthan,2018,2,Kota,184759,25.196682950000003,76.00096873038872,Western Region
Rajasthan,2018,2,Sikar,178308,27.66241555,75.02799709983499,Western Region
Rajasthan,2018,2,Ajmer,157947,26.33188715,74.71697524629388,Western Region
Rajasthan,2018,2,Bhilwara,149055,25.4889628,74.71640140204903,Western Region
Rajasthan,2018,2,Udaipur,146348,24.453502,73.65234711743422,Western Region
Rajasthan,2018,2,Nagaur,138240,27.05890605,74.1760832159963,Western Region
Rajasthan,2018,2,Jhunjhunu,134221,25.196682950000003,76.00096873038872,Western Region
Rajasthan,2018,3,Jaipur,1438305,27.1506772,75.74701641691182,Western Region
Rajasthan,2018,3,Alwar,345018,27.638573450000003,76.61404271796437,Western Region
Rajasthan,2018,3,Jodhpur,278965,26.73668055,72.87475506802181,Western Region
Rajasthan,2018,3,Kota,218406,25.196682950000003,76.00096873038872,Western Region
Rajasthan,2018,3,Sikar,216465,27.66241555,75.02799709983499,Western Region
Rajasthan,2018,3,Ajmer,193489,26.33188715,74.71697524629388,Western Region
Rajasthan,2018,3,Bhilwara,184376,25.4889628,74.71640140204903,Western Region
Rajasthan,2018,3,Udaipur,176698,24.453502,73.65234711743422,Western Region
Rajasthan,2018,3,Nagaur,170749,27.05890605,74.1760832159963,Western Region
Rajasthan,2018,3,Jhunjhunu,162942,25.196682950000003,76.00096873038872,Western Region
Rajasthan,2018,4,Jaipur,1733893,27.1506772,75.74701641691182,Western Region
Rajasthan,2018,4,Alwar,426052,27.638573450000003,76.61404271796437,Western Region
Rajasthan,2018,4,Jodhpur,352924,26.73668055,72.87475506802181,Western Region
Rajasthan,2018,4,Kota,263264,25.196682950000003,76.00096873038872,Western Region
Rajasthan,2018,4,Sikar,262310,27.66241555,75.02799709983499,Western Region
Rajasthan,2018,4,Ajmer,237037,26.33188715,74.71697524629388,Western Region
Rajasthan,2018,4,Bhilwara,225409,25.4889628,74.71640140204903,Western Region
Rajasthan,2018,4,Udaipur,216089,24.453502,73.65234711743422,Western Region
Rajasthan,2018,4,Nagaur,210067,27.05890605,74.1760832159963,Western Region
Rajasthan,2018,4,Jhunjhunu,196607,25.196682950000003,76.00096873038872,Western Region
Rajasthan,2019,1,Jaipur,2060175,27.1506772,75.74701641691182,Western Region
Rajasthan,2019,1,Alwar,517681,27.638573450000003,76.61404271796437,Western Region
Rajasthan,2019,1,Jodhpur,434178,26.73668055,72.87475506802181,Western Region
Rajasthan,2019,1,Sikar,318166,27.66241555,75.02799709983499,Western Region
Rajasthan,2019,1,Kota,318085,25.196682950000003,76.00096873038872,Western Region
Rajasthan,2019,1,Ajmer,290433,26.33188715,74.71697524629388,Western Region
Rajasthan,2019,1,Bhilwara,276384,25.4889628,74.71640140204903,Western Region
Rajasthan,2019,1,Nagaur,259361,27.05890605,74.1760832159963,Western Region
Rajasthan,2019,1,Udaipur,258915,24.453502,73.65234711743422,Western Region
Rajasthan,2019,1,Jhunjhunu,238956,25.196682950000003,76.00096873038872,Western Region
Rajasthan,2019,2,Jaipur,2290462,27.1506772,75.74701641691182,Western Region
Rajasthan,2019,2,Alwar,593855,27.638573450000003,76.61404271796437,Western Region
Rajasthan,2019,2,Jodhpur,499967,26.73668055,72.87475506802181,Western Region
Rajasthan,2019,2,Sikar,366729,27.66241555,75.02799709983499,Western Region
Rajasthan,2019,2,Kota,359152,25.196682950000003,76.00096873038872,Western Region
Rajasthan,2019,2,Ajmer,335167,26.33188715,74.71697524629388,Western Region
Rajasthan,2019,2,Bhilwara,314517,25.4889628,74.71640140204903,Western Region
Rajasthan,2019,2,Nagaur,301083,27.05890605,74.1760832159963,Western Region
Rajasthan,2019,2,Udaipur,296062,24.453502,73.65234711743422,Western Region
Rajasthan,2019,2,Jhunjhunu,275603,25.196682950000003,76.00096873038872,Western Region
Rajasthan,2019,3,Jaipur,2520933,27.1506772,75.74701641691182,Western Region
Rajasthan,2019,3,Alwar,666462,27.638573450000003,76.61404271796437,Western Region
Rajasthan,2019,3,Jodhpur,557784,26.73668055,72.87475506802181,Western Region
Rajasthan,2019,3,Sikar,412367,27.66241555,75.02799709983499,Western Region
Rajasthan,2019,3,Kota,399776,25.196682950000003,76.00096873038872,Western Region
Rajasthan,2019,3,Ajmer,378921,26.33188715,74.71697524629388,Western Region
Rajasthan,2019,3,Bhilwara,352747,25.4889628,74.71640140204903,Western Region
Rajasthan,2019,3,Nagaur,337197,27.05890605,74.1760832159963,Western Region
Rajasthan,2019,3,Udaipur,336408,24.453502,73.65234711743422,Western Region
Rajasthan,2019,3,Jhunjhunu,307034,25.196682950000003,76.00096873038872,Western Region
Rajasthan,2019,4,Jaipur,2746860,27.1506772,75.74701641691182,Western Region
Rajasthan,2019,4,Alwar,742956,27.638573450000003,76.61404271796437,Western Region
Rajasthan,2019,4,Jodhpur,622601,26.73668055,72.87475506802181,Western Region
Rajasthan,2019,4,Sikar,464940,27.66241555,75.02799709983499,Western Region
Rajasthan,2019,4,Kota,441496,25.196682950000003,76.00096873038872,Western Region
Rajasthan,2019,4,Ajmer,426926,26.33188715,74.71697524629388,Western Region
Rajasthan,2019,4,Bhilwara,394803,25.4889628,74.71640140204903,Western Region
Rajasthan,2019,4,Nagaur,383582,27.05890605,74.1760832159963,Western Region
Rajasthan,2019,4,Udaipur,378564,24.453502,73.65234711743422,Western Region
Rajasthan,2019,4,Jhunjhunu,344011,25.196682950000003,76.00096873038872,Western Region
Rajasthan,2020,1,Jaipur,2966508,27.1506772,75.74701641691182,Western Region
Rajasthan,2020,1,Alwar,825297,27.638573450000003,76.61404271796437,Western Region
Rajasthan,2020,1,Jodhpur,695569,26.73668055,72.87475506802181,Western Region
Rajasthan,2020,1,Sikar,522371,27.66241555,75.02799709983499,Western Region
Rajasthan,2020,1,Kota,483202,25.196682950000003,76.00096873038872,Western Region
Rajasthan,2020,1,Ajmer,482545,26.33188715,74.71697524629388,Western Region
Rajasthan,2020,1,Bhilwara,442746,25.4889628,74.71640140204903,Western Region
Rajasthan,2020,1,Nagaur,437492,27.05890605,74.1760832159963,Western Region
Rajasthan,2020,1,Udaipur,422167,24.453502,73.65234711743422,Western Region
Rajasthan,2020,1,Jhunjhunu,386643,25.196682950000003,76.00096873038872,Western Region
Rajasthan,2020,2,Jaipur,3182014,27.1506772,75.74701641691182,Western Region
Rajasthan,2020,2,Alwar,915475,27.638573450000003,76.61404271796437,Western Region
Rajasthan,2020,2,Jodhpur,786584,26.73668055,72.87475506802181,Western Region
Rajasthan,2020,2,Sikar,589850,27.66241555,75.02799709983499,Western Region
Rajasthan,2020,2,Ajmer,543273,26.33188715,74.71697524629388,Western Region
Rajasthan,2020,2,Kota,529843,25.196682950000003,76.00096873038872,Western Region
Rajasthan,2020,2,Nagaur,507139,27.05890605,74.1760832159963,Western Region
Rajasthan,2020,2,Bhilwara,494563,25.4889628,74.71640140204903,Western Region
Rajasthan,2020,2,Udaipur,470976,24.453502,73.65234711743422,Western Region
Rajasthan,2020,2,Jhunjhunu,438673,25.196682950000003,76.00096873038872,Western Region
Rajasthan,2020,3,Jaipur,3433167,27.1506772,75.74701641691182,Western Region
Rajasthan,2020,3,Alwar,1008033,27.638573450000003,76.61404271796437,Western Region
Rajasthan,2020,3,Jodhpur,870849,26.73668055,72.87475506802181,Western Region
Rajasthan,2020,3,Sikar,652190,27.66241555,75.02799709983499,Western Region
Rajasthan,2020,3,Ajmer,605298,26.33188715,74.71697524629388,Western Region
Rajasthan,2020,3,Kota,577117,25.196682950000003,76.00096873038872,Western Region
Rajasthan,2020,3,Nagaur,564788,27.05890605,74.1760832159963,Western Region
Rajasthan,2020,3,Bhilwara,548564,25.4889628,74.71640140204903,Western Region
Rajasthan,2020,3,Udaipur,522695,24.453502,73.65234711743422,Western Region
Rajasthan,2020,3,Jhunjhunu,484411,25.196682950000003,76.00096873038872,Western Region
Rajasthan,2020,4,Jaipur,3679874,27.1506772,75.74701641691182,Western Region
Rajasthan,2020,4,Alwar,1096436,27.638573450000003,76.61404271796437,Western Region
Rajasthan,2020,4,Jodhpur,956422,26.73668055,72.87475506802181,Western Region
Rajasthan,2020,4,Sikar,712668,27.66241555,75.02799709983499,Western Region
Rajasthan,2020,4,Ajmer,667786,26.33188715,74.71697524629388,Western Region
Rajasthan,2020,4,Kota,625674,25.196682950000003,76.00096873038872,Western Region
Rajasthan,2020,4,Nagaur,621602,27.05890605,74.1760832159963,Western Region
Rajasthan,2020,4,Bhilwara,600492,25.4889628,74.71640140204903,Western Region
Rajasthan,2020,4,Udaipur,572833,24.453502,73.65234711743422,Western Region
Rajasthan,2020,4,Jhunjhunu,527749,25.196682950000003,76.00096873038872,Western Region
Rajasthan,2021,1,Jaipur,3951866,27.1506772,75.74701641691182,Western Region
Rajasthan,2021,1,Alwar,1185599,27.638573450000003,76.61404271796437,Western Region
Rajasthan,2021,1,Jodhpur,1036855,26.73668055,72.87475506802181,Western Region
Rajasthan,2021,1,Sikar,770103,27.66241555,75.02799709983499,Western Region
Rajasthan,2021,1,Ajmer,723852,26.33188715,74.71697524629388,Western Region
Rajasthan,2021,1,Kota,674683,25.196682950000003,76.00096873038872,Western Region
Rajasthan,2021,1,Nagaur,674465,27.05890605,74.1760832159963,Western Region
Rajasthan,2021,1,Bhilwara,651400,25.4889628,74.71640140204903,Western Region
Rajasthan,2021,1,Udaipur,619264,24.453502,73.65234711743422,Western Region
Rajasthan,2021,1,Jhunjhunu,569602,25.196682950000003,76.00096873038872,Western Region
Rajasthan,2021,2,Jaipur,4226231,27.1506772,75.74701641691182,Western Region
Rajasthan,2021,2,Alwar,1273307,27.638573450000003,76.61404271796437,Western Region
Rajasthan,2021,2,Jodhpur,1114131,26.73668055,72.87475506802181,Western Region
Rajasthan,2021,2,Sikar,826855,27.66241555,75.02799709983499,Western Region
Rajasthan,2021,2,Ajmer,776294,26.33188715,74.71697524629388,Western Region
Rajasthan,2021,2,Nagaur,726871,27.05890605,74.1760832159963,Western Region
Rajasthan,2021,2,Kota,722793,25.196682950000003,76.00096873038872,Western Region
Rajasthan,2021,2,Bhilwara,701929,25.4889628,74.71640140204903,Western Region
Rajasthan,2021,2,Udaipur,664816,24.453502,73.65234711743422,Western Region
Rajasthan,2021,2,Jhunjhunu,611825,25.196682950000003,76.00096873038872,Western Region
Rajasthan,2021,3,Jaipur,4534297,27.1506772,75.74701641691182,Western Region
Rajasthan,2021,3,Alwar,1374586,27.638573450000003,76.61404271796437,Western Region
Rajasthan,2021,3,Jodhpur,1202937,26.73668055,72.87475506802181,Western Region
Rajasthan,2021,3,Sikar,892015,27.66241555,75.02799709983499,Western Region
Rajasthan,2021,3,Ajmer,835375,26.33188715,74.71697524629388,Western Region
Rajasthan,2021,3,Nagaur,787565,27.05890605,74.1760832159963,Western Region
Rajasthan,2021,3,Kota,777099,25.196682950000003,76.00096873038872,Western Region
Rajasthan,2021,3,Bhilwara,760232,25.4889628,74.71640140204903,Western Region
Rajasthan,2021,3,Udaipur,716657,24.453502,73.65234711743422,Western Region
Rajasthan,2021,3,Jhunjhunu,660246,25.196682950000003,76.00096873038872,Western Region
Rajasthan,2021,4,Jaipur,4841883,27.1506772,75.74701641691182,Western Region
Rajasthan,2021,4,Alwar,1474129,27.638573450000003,76.61404271796437,Western Region
Rajasthan,2021,4,Jodhpur,1288773,26.73668055,72.87475506802181,Western Region
Rajasthan,2021,4,Sikar,955025,27.66241555,75.02799709983499,Western Region
Rajasthan,2021,4,Ajmer,892912,26.33188715,74.71697524629388,Western Region
Rajasthan,2021,4,Nagaur,845508,27.05890605,74.1760832159963,Western Region
Rajasthan,2021,4,Kota,831250,25.196682950000003,76.00096873038872,Western Region
Rajasthan,2021,4,Bhilwara,816969,25.4889628,74.71640140204903,Western Region
Rajasthan,2021,4,Udaipur,767224,24.453502,73.65234711743422,Western Region
Rajasthan,2021,4,Jhunjhunu,706897,25.196682950000003,76.00096873038872,Western Region
Rajasthan,2022,1,Jaipur,5133527,27.1506772,75.74701641691182,Western Region
Rajasthan,2022,1,Alwar,1570711,27.638573450000003,76.61404271796437,Western Region
Rajasthan,2022,1,Jodhpur,1370206,26.73668055,72.87475506802181,Western Region
Rajasthan,2022,1,Sikar,1017503,27.66241555,75.02799709983499,Western Region
Rajasthan,2022,1,Ajmer,947827,26.33188715,74.71697524629388,Western Region
Rajasthan,2022,1,Nagaur,901819,27.05890605,74.1760832159963,Western Region
Rajasthan,2022,1,Kota,882916,25.196682950000003,76.00096873038872,Western Region
Rajasthan,2022,1,Bhilwara,871188,25.4889628,74.71640140204903,Western Region
Rajasthan,2022,1,Udaipur,816476,24.453502,73.65234711743422,Western Region
Rajasthan,2022,1,Jhunjhunu,752608,25.196682950000003,76.00096873038872,Western Region
Rajasthan,2022,2,Jaipur,5409763,27.1506772,75.74701641691182,Western Region
Rajasthan,2022,2,Alwar,1661785,27.638573450000003,76.61404271796437,Western Region
Rajasthan,2022,2,Jodhpur,1444490,26.73668055,72.87475506802181,Western Region
Rajasthan,2022,2,Sikar,1074986,27.66241555,75.02799709983499,Western Region
Rajasthan,2022,2,Ajmer,998746,26.33188715,74.71697524629388,Western Region
Rajasthan,2022,2,Nagaur,952752,27.05890605,74.1760832159963,Western Region
Rajasthan,2022,2,Kota,931689,25.196682950000003,76.00096873038872,Western Region
Rajasthan,2022,2,Bhilwara,921021,25.4889628,74.71640140204903,Western Region
Rajasthan,2022,2,Udaipur,862053,24.453502,73.65234711743422,Western Region
Rajasthan,2022,2,Jhunjhunu,795815,25.196682950000003,76.00096873038872,Western Region
Rajasthan,2022,3,Jaipur,5696726,27.1506772,75.74701641691182,Western Region
Rajasthan,2022,3,Alwar,1755844,27.638573450000003,76.61404271796437,Western Region
Rajasthan,2022,3,Jodhpur,1517702,26.73668055,72.87475506802181,Western Region
Rajasthan,2022,3,Sikar,1133443,27.66241555,75.02799709983499,Western Region
Rajasthan,2022,3,Ajmer,1050146,26.33188715,74.71697524629388,Western Region
Rajasthan,2022,3,Nagaur,1001401,27.05890605,74.1760832159963,Western Region
Rajasthan,2022,3,Kota,982248,25.196682950000003,76.00096873038872,Western Region
Rajasthan,2022,3,Bhilwara,971352,25.4889628,74.71640140204903,Western Region
Rajasthan,2022,3,Udaipur,908034,24.453502,73.65234711743422,Western Region
Rajasthan,2022,3,Jhunjhunu,839052,25.196682950000003,76.00096873038872,Western Region
Rajasthan,2022,4,Jaipur,5975863,27.1506772,75.74701641691182,Western Region
Rajasthan,2022,4,Alwar,1843138,27.638573450000003,76.61404271796437,Western Region
Rajasthan,2022,4,Jodhpur,1583620,26.73668055,72.87475506802181,Western Region
Rajasthan,2022,4,Sikar,1185927,27.66241555,75.02799709983499,Western Region
Rajasthan,2022,4,Ajmer,1097266,26.33188715,74.71697524629388,Western Region
Rajasthan,2022,4,Nagaur,1043562,27.05890605,74.1760832159963,Western Region
Rajasthan,2022,4,Kota,1031196,25.196682950000003,76.00096873038872,Western Region
Rajasthan,2022,4,Bhilwara,1017032,25.4889628,74.71640140204903,Western Region
Rajasthan,2022,4,Udaipur,949767,24.453502,73.65234711743422,Western Region
Rajasthan,2022,4,Jhunjhunu,876787,25.196682950000003,76.00096873038872,Western Region
Rajasthan,2023,1,Jaipur,6247095,27.1506772,75.74701641691182,Western Region
Rajasthan,2023,1,Alwar,1931404,27.638573450000003,76.61404271796437,Western Region
Rajasthan,2023,1,Jodhpur,1654436,26.73668055,72.87475506802181,Western Region
Rajasthan,2023,1,Sikar,1241633,27.66241555,75.02799709983499,Western Region
Rajasthan,2023,1,Ajmer,1146113,26.33188715,74.71697524629388,Western Region
Rajasthan,2023,1,Nagaur,1091225,27.05890605,74.1760832159963,Western Region
Rajasthan,2023,1,Kota,1079455,25.196682950000003,76.00096873038872,Western Region
Rajasthan,2023,1,Bhilwara,1065499,25.4889628,74.71640140204903,Western Region
Rajasthan,2023,1,Udaipur,992940,24.453502,73.65234711743422,Western Region
Rajasthan,2023,1,Jhunjhunu,917983,25.196682950000003,76.00096873038872,Western Region
Rajasthan,2023,2,Jaipur,6490210,27.1506772,75.74701641691182,Western Region
Rajasthan,2023,2,Alwar,2015122,27.638573450000003,76.61404271796437,Western Region
Rajasthan,2023,2,Jodhpur,1723274,26.73668055,72.87475506802181,Western Region
Rajasthan,2023,2,Sikar,1295705,27.66241555,75.02799709983499,Western Region
Rajasthan,2023,2,Ajmer,1191890,26.33188715,74.71697524629388,Western Region
Rajasthan,2023,2,Nagaur,1140617,27.05890605,74.1760832159963,Western Region
Rajasthan,2023,2,Kota,1123468,25.196682950000003,76.00096873038872,Western Region
Rajasthan,2023,2,Bhilwara,1112475,25.4889628,74.71640140204903,Western Region
Rajasthan,2023,2,Udaipur,1034200,24.453502,73.65234711743422,Western Region
Rajasthan,2023,2,Jhunjhunu,957879,25.196682950000003,76.00096873038872,Western Region
Rajasthan,2023,3,Jaipur,6745507,27.1506772,75.74701641691182,Western Region
Rajasthan,2023,3,Alwar,2100632,27.638573450000003,76.61404271796437,Western Region
Rajasthan,2023,3,Jodhpur,1793526,26.73668055,72.87475506802181,Western Region
Rajasthan,2023,3,Sikar,1350861,27.66241555,75.02799709983499,Western Region
Rajasthan,2023,3,Ajmer,1240780,26.33188715,74.71697524629388,Western Region
Rajasthan,2023,3,Nagaur,1190241,27.05890605,74.1760832159963,Western Region
Rajasthan,2023,3,Kota,1170118,25.196682950000003,76.00096873038872,Western Region
Rajasthan,2023,3,Bhilwara,1161222,25.4889628,74.71640140204903,Western Region
Rajasthan,2023,3,Udaipur,1075658,24.453502,73.65234711743422,Western Region
Rajasthan,2023,3,Jhunjhunu,998478,25.196682950000003,76.00096873038872,Western Region
Rajasthan,2023,4,Jaipur,6983265,27.1506772,75.74701641691182,Western Region
Rajasthan,2023,4,Alwar,2179932,27.638573450000003,76.61404271796437,Western Region
Rajasthan,2023,4,Jodhpur,1857340,26.73668055,72.87475506802181,Western Region
Rajasthan,2023,4,Sikar,1402231,27.66241555,75.02799709983499,Western Region
Rajasthan,2023,4,Ajmer,1284233,26.33188715,74.71697524629388,Western Region
Rajasthan,2023,4,Nagaur,1236331,27.05890605,74.1760832159963,Western Region
Rajasthan,2023,4,Kota,1214016,25.196682950000003,76.00096873038872,Western Region
Rajasthan,2023,4,Bhilwara,1205003,25.4889628,74.71640140204903,Western Region
Rajasthan,2023,4,Udaipur,1115611,24.453502,73.65234711743422,Western Region
Rajasthan,2023,4,Jhunjhunu,1036803,25.196682950000003,76.00096873038872,Western Region
Rajasthan,2024,1,Jaipur,7253881,27.1506772,75.74701641691182,Western Region
Rajasthan,2024,1,Alwar,2270393,27.638573450000003,76.61404271796437,Western Region
Rajasthan,2024,1,Jodhpur,1933181,26.73668055,72.87475506802181,Western Region
Rajasthan,2024,1,Sikar,1461236,27.66241555,75.02799709983499,Western Region
Rajasthan,2024,1,Ajmer,1334929,26.33188715,74.71697524629388,Western Region
Rajasthan,2024,1,Nagaur,1290786,27.05890605,74.1760832159963,Western Region
Rajasthan,2024,1,Kota,1264105,25.196682950000003,76.00096873038872,Western Region
Rajasthan,2024,1,Bhilwara,1256777,25.4889628,74.71640140204903,Western Region
Rajasthan,2024,1,Udaipur,1161696,24.453502,73.65234711743422,Western Region
Rajasthan,2024,1,Jhunjhunu,1080420,25.196682950000003,76.00096873038872,Western Region
Rajasthan,2024,2,Jaipur,7522194,27.1506772,75.74701641691182,Western Region
Rajasthan,2024,2,Alwar,2357624,27.638573450000003,76.61404271796437,Western Region
Rajasthan,2024,2,Jodhpur,2004056,26.73668055,72.87475506802181,Western Region
Rajasthan,2024,2,Sikar,1517703,27.66241555,75.02799709983499,Western Region
Rajasthan,2024,2,Ajmer,1384040,26.33188715,74.71697524629388,Western Region
Rajasthan,2024,2,Nagaur,1340651,27.05890605,74.1760832159963,Western Region
Rajasthan,2024,2,Kota,1312699,25.196682950000003,76.00096873038872,Western Region
Rajasthan,2024,2,Bhilwara,1304282,25.4889628,74.71640140204903,Western Region
Rajasthan,2024,2,Udaipur,1205522,24.453502,73.65234711743422,Western Region
Rajasthan,2024,2,Jhunjhunu,1122057,25.196682950000003,76.00096873038872,Western Region
Rajasthan,2024,3,Jaipur,5219354,27.1506772,75.74701641691182,Western Region
Rajasthan,2024,3,Jaipur Rural,1430124,,,Western Region
Rajasthan,2024,3,Kota,1348463,25.196682950000003,76.00096873038872,Western Region
Rajasthan,2024,3,Sikar,1185364,27.66241555,75.02799709983499,Western Region
Rajasthan,2024,3,Jodhpur,1154160,26.73668055,72.87475506802181,Western Region
Rajasthan,2024,3,Udaipur,1145180,24.453502,73.65234711743422,Western Region
Rajasthan,2024,3,Bikaner,1138132,28.11616165,73.11056700494197,Western Region
Rajasthan,2024,3,Alwar,1057687,27.638573450000003,76.61404271796437,Western Region
Rajasthan,2024,3,Ajmer,1011766,26.33188715,74.71697524629388,Western Region
Rajasthan,2024,3,Bhilwara,934621,25.4889628,74.71640140204903,Western Region
Rajasthan,2024,4,Jaipur,5371681,27.1506772,75.74701641691182,Western Region
Rajasthan,2024,4,Jaipur Rural,1471885,,,Western Region
Rajasthan,2024,4,Kota,1393621,25.196682950000003,76.00096873038872,Western Region
Rajasthan,2024,4,Sikar,1233678,27.66241555,75.02799709983499,Western Region
Rajasthan,2024,4,Jodhpur,1196146,26.73668055,72.87475506802181,Western Region
Rajasthan,2024,4,Udaipur,1185490,24.453502,73.65234711743422,Western Region
Rajasthan,2024,4,Bikaner,1180630,28.11616165,73.11056700494197,Western Region
Rajasthan,2024,4,Alwar,1093734,27.638573450000003,76.61404271796437,Western Region
Rajasthan,2024,4,Ajmer,1046582,26.33188715,74.71697524629388,Western Region
Rajasthan,2024,4,Bhilwara,972156,25.4889628,74.71640140204903,Western Region
